month,year,quarter,total_sales,sales_rank
11,2017,4,117903.43,1
12,2016,4,96712.69,2
9,2017,3,87866.66,3
12,2017,4,83726.97,4
9,2014,3,81777.34,5
11,2016,4,79412.03,6
11,2014,4,78628.74,7
10,2017,4,77776.96,8
11,2015,4,75972.51,9
12,2015,4,74919.52,10
9,2016,3,73360.97,11
12,2014,4,69545.64,12
9,2015,3,64595.87,13
8,2017,3,63120.85,14
10,2016,4,59687.8,15
3,2017,1,58872.35,16
5,2016,2,56987.75,17
3,2014,1,55691.04,18
6,2017,2,52981.73,19
3,2016,1,51670.18,20
7,2017,3,45264.43,21
5,2017,2,44261.08,22
1,2017,1,43971.37,23
6,2016,2,40344.54,24
7,2016,3,39261.99,25
3,2015,1,38726.26,26
4,2016,2,38458.08,27
8,2015,3,36898.32,28
4,2017,2,36521.52,29
6,2014,2,34595.14,30
4,2015,2,34195.25,31
7,2014,3,33946.37,32
10,2014,4,31453.37,33
10,2015,4,31404.9,34
8,2016,3,31115.35,35
5,2015,2,30131.72,36
7,2015,3,28675.26,37
4,2014,2,28013.98,38
8,2014,3,27909.47,39
6,2015,2,24797.31,40
5,2014,2,23648.28,41
2,2016,1,22978.82,42
2,2017,1,20301.12,43
1,2016,1,18542.52,44
1,2015,1,18174.08,45
1,2014,1,14236.9,46
2,2015,1,11951.4,47
2,2014,1,4519.92,48
